"location.id","location.region","date","jsa.fem"
"1-118542246","East of England","2010-10-01",10
"1-118542246","East of England","2011-01-06",10
"1-118542246","East of England",NA,10
"1-118542246","East of England",NA,10
"1-133442300","East of England","2010-10-01",5
"1-133442300","East of England","2010-11-25",5
"1-133442300","East of England",NA,5
"1-133442300","East of England",NA,5
"1-1077251016","East of England","2013-12-02",10
"1-1077251016","East of England","2013-12-02",10
"1-1077251016","East of England",NA,10
"1-1077251016","East of England",NA,10
"1-1107048559","East of England","2013-12-02",10
"1-1107048559","East of England","2013-12-02",10
"1-1107048559","East of England",NA,10
"1-1107048559","East of England",NA,10
"1-1107111859","East of England","2013-12-02",10
"1-1107111859","East of England","2013-12-02",10
"1-1107111859","East of England",NA,10
"1-1107111859","East of England",NA,10
"1-115032879","East of England","2010-10-01",15
"1-115032879","East of England","2010-12-29",15
"1-115032879","East of England","2013-12-06",15
"1-115032879","East of England","2013-12-06",15
"1-115032915","East of England","2010-10-01",15
"1-115032915","East of England","2010-12-29",15
"1-115032915","East of England","2013-12-06",15
"1-115032915","East of England","2013-12-06",15
"1-541721343","East of England","2010-10-01",15
"1-541721343","East of England","2012-12-13",15
"1-541721343","East of England","2013-12-06",15
"1-541721343","East of England","2013-12-06",15
"1-110041505","East of England","2010-10-01",10
"1-110041505","East of England","2011-01-18",10
"1-110041505","East of England",NA,10
"1-110041505","East of England",NA,10
"1-123018011","East of England","2010-10-01",30
"1-123018011","East of England","2010-12-06",30
"1-123018011","East of England",NA,30
"1-123018011","East of England",NA,30
"5QVX3","East of England","2010-11-16",20
"5QVX3","East of England","2011-01-13",20
"5QVX3","East of England","2012-04-19",20
"5QVX3","East of England","2012-04-23",20
"1-130606568","East of England","2010-10-01",15
"1-130606568","East of England","2011-01-06",15
"1-130606568","East of England",NA,15
"1-130606568","East of England",NA,15
"1-130606585","East of England","2010-10-01",15
"1-130606585","East of England","2011-01-06",15
"1-130606585","East of England",NA,15
"1-130606585","East of England",NA,15
"1-112258276","East of England","2010-10-01",30
"1-112258276","East of England","2011-01-14",30
"1-112258276","East of England",NA,30
"1-112258276","East of England",NA,30
"1-117601100","East of England","2010-10-01",30
"1-117601100","East of England","2011-01-07",30
"1-117601100","East of England",NA,30
"1-117601100","East of England",NA,30
"1-112258311","East of England","2010-10-01",30
"1-112258311","East of England","2011-01-14",30
"1-112258311","East of England",NA,30
"1-112258311","East of England",NA,30
"1-112258294","East of England","2010-10-01",25
"1-112258294","East of England","2011-01-14",25
"1-112258294","East of England",NA,25
"1-112258294","East of England",NA,25
"1-145991980","East of England","2011-01-10",40
"1-145991980","East of England","2011-01-10",40
"1-145991980","East of England","2015-03-14",40
"1-145991980","East of England",NA,40
"1-2577035235","East of England","2011-01-10",15
"1-2577035235","East of England","2016-04-16",15
"1-2577035235","East of England",NA,15
"1-2577035235","East of England",NA,15
"1-118532846","East of England","2010-10-01",15
"1-118532846","East of England","2011-01-06",15
"1-118532846","East of England",NA,15
"1-118532846","East of England",NA,15
"1-125600741","East of England","2010-10-01",25
"1-125600741","East of England","2010-12-20",25
"1-125600741","East of England",NA,25
"1-125600741","East of England",NA,25
"1-125573665","East of England","2010-10-01",10
"1-125573665","East of England","2010-12-16",10
"1-125573665","East of England",NA,10
"1-125573665","East of England",NA,10
"1-117568795","East of England","2010-10-01",35
"1-117568795","East of England","2011-01-19",35
"1-117568795","East of England",NA,35
"1-117568795","East of England",NA,35
"1-119792136","East of England","2010-10-01",15
"1-119792136","East of England","2011-03-15",15
"1-119792136","East of England",NA,15
"1-119792136","East of England",NA,15
"1-657644818","East of England","2010-10-01",0
"1-657644818","East of England","2013-03-21",0
"1-657644818","East of England","2016-03-18",0
"1-657644818","East of England",NA,0
"1-118035054","West Midlands","2010-10-01",135
"1-118035054","West Midlands","2011-01-07",135
"1-118035054","West Midlands","2014-08-29",135
"1-118035054","West Midlands",NA,135
"1-2623407986","West Midlands","2010-10-01",70
"1-2623407986","West Midlands","2016-05-18",70
"1-2623407986","West Midlands",NA,70
"1-2623407986","West Midlands",NA,70
"1-165916561","West Midlands","2011-01-27",55
"1-165916561","West Midlands","2011-02-24",55
"1-165916561","West Midlands",NA,55
"1-165916561","West Midlands",NA,55
"1-109925813","West Midlands","2010-10-01",135
"1-109925813","West Midlands","2010-12-14",135
"1-109925813","West Midlands",NA,135
"1-109925813","West Midlands",NA,135
"1-194742394","West Midlands","2011-04-04",75
"1-194742394","West Midlands","2011-04-04",75
"1-194742394","West Midlands","2013-12-09",75
"1-194742394","West Midlands","2013-12-09",75
"1-1921275993","West Midlands","2015-03-12",25
"1-1921275993","West Midlands","2015-03-12",25
"1-1921275993","West Midlands",NA,25
"1-1921275993","West Midlands",NA,25
"1-2106408407","West Midlands","2015-03-12",25
"1-2106408407","West Midlands","2015-09-17",25
"1-2106408407","West Midlands",NA,25
"1-2106408407","West Midlands",NA,25
"1-146280100","West Midlands","2011-01-24",70
"1-146280100","West Midlands","2011-01-24",70
"1-146280100","West Midlands",NA,70
"1-146280100","West Midlands",NA,70
"1-1588852719","West Midlands","2014-08-20",220
"1-1588852719","West Midlands","2014-08-20",220
"1-1588852719","West Midlands",NA,220
"1-1588852719","West Midlands",NA,220
"1-329034118","West Midlands","2011-01-24",145
"1-329034118","West Midlands","2011-10-28",145
"1-329034118","West Midlands",NA,145
